Emotions;TypeEssai;Score;Participant;Fin
Joie;C;8;1;4
Peur;C;0;1;4
Tristesse;NC;7;1;4
Peur;NC;0;1;4
Degout;NC;5;1;4
Tristesse;NC;5;1;4
Degout;C;10;1;4
Joie;NC;10;1;4
Colere;NC;0;1;4
Colere;C;5;1;4
Joie;NC;10;1;4
Colere;NC;4;1;4
Degout;NC;10;1;4
Tristesse;C;3;1;4
Peur;NC;0;1;4
Joie;C;9;2;4
Peur;C;1;2;4
Tristesse;NC;6;2;4
Peur;NC;0;2;4
Degout;NC;7;2;4
Tristesse;NC;6;2;4
Degout;C;8;2;4
Joie;NC;6;2;4
Colere;NC;3;2;4
Colere;C;6;2;4
Joie;NC;6;2;4
Colere;NC;2;2;4
Degout;NC;8;2;4
Tristesse;C;0;2;4
Peur;NC;1;2;4
Joie;C;2;3;2
Peur;C;4;3;2
Tristesse;NC;2;3;2
Peur;NC;0;3;2
Degout;NC;2;3;2
Tristesse;NC;2;3;2
Degout;C;1;3;2
Joie;NC;3;3;2
Colere;NC;0;3;2
Colere;C;1;3;2
Joie;NC;4;3;2
Colere;NC;5;3;2
Degout;NC;5;3;2
Tristesse;C;0;3;2
Peur;NC;1;3;2
Joie;C;5;4;5
Peur;C;7;4;5
Tristesse;NC;6;4;5
Peur;NC;5;4;5
Degout;NC;7;4;5
Tristesse;NC;8;4;5
Degout;C;10;4;5
Joie;NC;4;4;5
Colere;NC;0;4;5
Colere;C;6;4;5
Joie;NC;8;4;5
Colere;NC;3;4;5
Degout;NC;9;4;5
Tristesse;C;10;4;5
Peur;NC;10;4;5
Joie;C;1;5;2
Peur;C;0;5;2
Tristesse;NC;0;5;2
Peur;NC;0;5;2
Degout;NC;2;5;2
Tristesse;NC;7;5;2
Degout;C;2;5;2
Joie;NC;5;5;2
Colere;NC;3;5;2
Colere;C;2;5;2
Joie;NC;3;5;2
Colere;NC;7;5;2
Degout;NC;2;5;2
Tristesse;C;5;5;2
Peur;NC;3;5;2
Joie;C;10;6;4
Peur;C;2;6;4
Tristesse;NC;0;6;4
Peur;NC;0;6;4
Degout;NC;5;6;4
Tristesse;NC;6;6;4
Degout;C;10;6;4
Joie;NC;10;6;4
Colere;NC;0;6;4
Colere;C;0;6;4
Joie;NC;1;6;4
Colere;NC;2;6;4
Degout;NC;2;6;4
Tristesse;C;0;6;4
Peur;NC;1;6;4
Joie;C;3;7;3
Peur;C;2;7;3
Tristesse;NC;2;7;3
Peur;NC;2;7;3
Degout;NC;5;7;3
Tristesse;NC;4;7;3
Degout;C;4;7;3
Joie;NC;1;7;3
Colere;NC;1;7;3
Colere;C;3;7;3
Joie;NC;1;7;3
Colere;NC;1;7;3
Degout;NC;3;7;3
Tristesse;C;2;7;3
Peur;NC;4;7;3
Joie;C;2;8;4
Peur;C;2;8;4
Tristesse;NC;3;8;4
Peur;NC;0;8;4
Degout;NC;7;8;4
Tristesse;NC;3;8;4
Degout;C;3;8;4
Joie;NC;1;8;4
Colere;NC;0;8;4
Colere;C;3;8;4
Joie;NC;1;8;4
Colere;NC;0;8;4
Degout;NC;6;8;4
Tristesse;C;0;8;4
Peur;NC;1;8;4
Joie;C;6;9;5
Peur;C;4;9;5
Tristesse;NC;0;9;5
Peur;NC;0;9;5
Degout;NC;6;9;5
Tristesse;NC;4;9;5
Degout;C;3;9;5
Joie;NC;0;9;5
Colere;NC;0;9;5
Colere;C;1;9;5
Joie;NC;0;9;5
Colere;NC;0;9;5
Degout;NC;0;9;5
Tristesse;C;3;9;5
Peur;NC;0;9;5
Joie;C;6;10;4
Peur;C;2;10;4
Tristesse;NC;6;10;4
Peur;NC;1;10;4
Degout;NC;2;10;4
Tristesse;NC;6;10;4
Degout;C;2;10;4
Joie;NC;1;10;4
Colere;NC;0;10;4
Colere;C;3;10;4
Joie;NC;0;10;4
Colere;NC;1;10;4
Degout;NC;7;10;4
Tristesse;C;2;10;4
Peur;NC;3;10;4
Joie;C;5;11;3
Peur;C;2;11;3
Tristesse;NC;0;11;3
Peur;NC;0;11;3
Degout;NC;2;11;3
Tristesse;NC;3;11;3
Degout;C;1;11;3
Joie;NC;2;11;3
Colere;NC;1;11;3
Colere;C;1;11;3
Joie;NC;0;11;3
Colere;NC;3;11;3
Degout;NC;0;11;3
Tristesse;C;0;11;3
Peur;NC;2;11;3
Joie;C;0;12;5
Peur;C;0;12;5
Tristesse;NC;1;12;5
Peur;NC;0;12;5
Degout;NC;0;12;5
Tristesse;NC;0;12;5
Degout;C;1;12;5
Joie;NC;0;12;5
Colere;NC;0;12;5
Colere;C;0;12;5
Joie;NC;1;12;5
Colere;NC;0;12;5
Degout;NC;1;12;5
Tristesse;C;2;12;5
Peur;NC;0;12;5
Joie;C;3;13;4
Peur;C;0;13;4
Tristesse;NC;3;13;4
Peur;NC;0;13;4
Degout;NC;1;13;4
Tristesse;NC;1;13;4
Degout;C;6;13;4
Joie;NC;0;13;4
Colere;NC;0;13;4
Colere;C;0;13;4
Joie;NC;3;13;4
Colere;NC;0;13;4
Degout;NC;0;13;4
Tristesse;C;6;13;4
Peur;NC;2;13;4
Joie;C;0;14;4
Peur;C;0;14;4
Tristesse;NC;1;14;4
Peur;NC;0;14;4
Degout;NC;0;14;4
Tristesse;NC;1;14;4
Degout;C;0;14;4
Joie;NC;2;14;4
Colere;NC;0;14;4
Colere;C;0;14;4
Joie;NC;0;14;4
Colere;NC;0;14;4
Degout;NC;0;14;4
Tristesse;C;0;14;4
Peur;NC;0;14;4
Joie;C;2;15;4
Peur;C;1;15;4
Tristesse;NC;3;15;4
Peur;NC;0;15;4
Degout;NC;2;15;4
Tristesse;NC;2;15;4
Degout;C;4;15;4
Joie;NC;5;15;4
